Interval=	0.01 s
ExcelDateTime=	4.5855649139942347e+04	07/17/25 15:34:45.691019
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	Flow BIS	Inspi cyclic	Expi cyclic	L/m -> L/s	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	64.18 L/min	1.1000 	1.1000 	1.07 L/s	1.00 L/s.s
UnitName=	*		*	cmH2O	*	*	*	*	*
TopValue=	*	148.52	*	3523.71	*	*	*	*	*
BottomValue=	*	-163.55	*	-3491.41	*	*	*	*	*
2.18	3.202625	-11.11998	0.6388281	10.47231	-11.11998	1.469056e-08	1.469056e-08	-0.185333	-0.7451388
2.19	3.202726	-11.0437	0.09507812	10.46914	-11.0437	1.469056e-08	1.469056e-08	-0.1840616	-0.7469856
2.2	3.202641	-10.97042	0.6155469	10.46461	-10.97042	1.469056e-08	1.469056e-08	-0.1828404	-0.7488199
2.21	3.124453	-10.90139	0.07851563	10.45952	-10.90139	1.469056e-08	1.469056e-08	-0.1816899	-0.7506424
2.22	3.112227	-10.83985	0.6077344	10.45484	-10.83985	1.469056e-08	1.469056e-08	-0.1806642	-0.7524539
2.23	3.061844	-10.78586	0.07007812	10.45168	-10.78586	1.469056e-08	1.469056e-08	-0.1797643	-0.7542558
2.24	3.202313	-10.74049	0.5976562	10.45108	-10.74049	1.469056e-08	1.469056e-08	-0.1790081	-0.7560495
2.25	3.202555	-10.70179	0.06140625	10.45366	-10.70179	1.469056e-08	1.469056e-08	-0.1783632	-0.7578362
2.26	3.202563	-10.66831	0.5880469	10.45978	-10.66831	1.469056e-08	1.469056e-08	-0.1778052	-0.7596169
2.27	3.202578	-10.63722	0.06546875	10.46897	-10.63722	1.469056e-08	1.469056e-08	-0.177287	-0.7613922
2.28	3.202594	-10.60847	0.6086719	10.48039	-10.60847	1.469056e-08	1.469056e-08	-0.1768078	-0.7631626
2.29	3.202609	-10.58365	0.09234375	10.49225	-10.58365	1.469056e-08	1.469056e-08	-0.1763942	-0.7649285
2.3	3.202578	-10.5717	0.6339844	10.50218	-10.5717	1.469056e-08	1.469056e-08	-0.176195	-0.7666911
2.31	3.202656	-10.58082	0.1197656	10.50727	-10.58083	1.469056e-08	1.469056e-08	-0.1763471	-0.7684535
2.32	3.202586	-10.62669	0.6595313	10.50379	-10.62669	1.469056e-08	1.469056e-08	-0.1771115	-0.7702203
2.33	3.202656	-10.71214	0.1421875	10.48918	-10.71214	1.469056e-08	1.469056e-08	-0.1785357	-0.7719983
2.34	3.202633	-10.8397	0.6726563	10.46043	-10.8397	1.469056e-08	1.469056e-08	-0.1806616	-0.7737939
2.35	3.202648	-10.98117	0.1485156	10.4188	-10.98117	1.469056e-08	1.469056e-08	-0.1830194	-0.7756129
2.36	3.202648	-11.0934	0.6738281	10.36681	-11.0934	1.469056e-08	1.469056e-08	-0.18489	-0.7774532
2.37	3.202656	-11.09401	0.1495312	10.31437	-11.09401	1.469056e-08	1.469056e-08	-0.1849002	-0.7793049
2.38	3.202656	-10.87462	0.6715625	10.27551	-10.87462	1.469056e-08	1.469056e-08	-0.1812436	-0.7811384
2.39	3.202687	-10.30564	0.1425781	10.27193	-10.30564	1.469056e-08	1.469056e-08	-0.1717607	-0.782909
2.4	3.202656	-9.234485	0.6708594	10.33209	-9.234485	1.469056e-08	1.469056e-08	-0.1539081	-0.7845421
2.41	3.202602	-7.534762	0.1372656	10.48681	-7.534762	1.469056e-08	1.469056e-08	-0.1255794	-0.7859467
2.42	3.202656	-5.076339	0.6615625	10.77431	-5.076339	1.469056e-08	1.469056e-08	-0.08460564	-0.7870024
2.43	3.202602	-1.810751	0.1210938	11.22421	-1.810751	0.02499999	1.469056e-08	-0.03017919	-0.7678903	#* INSPI 
2.44	3.202656	2.289619	0.6386719	11.87166	2.289619	1.469056e-08	1.469056e-08	0.03816032	0.0001339171
2.45	3.202687	7.142449	0.098125	12.73044	7.142449	1.469056e-08	1.469056e-08	0.1190408	0.0009190406
2.46	3.202633	12.63042	0.6189844	13.81688	12.63042	1.469056e-08	1.469056e-08	0.210507	0.002571863
2.47	3.202555	18.55105	0.08835937	15.11801	18.55105	1.469056e-08	1.469056e-08	0.3091841	0.00517698
2.48	3.202539	24.67274	0.6139844	16.62165	24.67275	1.469056e-08	1.469056e-08	0.4112124	0.008791797
2.49	3.202617	30.75149	0.09273437	18.28797	30.75148	1.469056e-08	1.469056e-08	0.5125247	0.01342437
2.5	3.202508	36.53495	0.6182813	20.07948	36.53495	1.469056e-08	1.469056e-08	0.6089158	0.01905028
2.51	3.202484	41.84191	0.1017187	21.94186	41.84191	1.469056e-08	1.469056e-08	0.6973651	0.02559954
2.52	3.202578	46.4993	0.6271094	23.82708	46.4993	1.469056e-08	1.469056e-08	0.7749884	0.03298172
2.53	3.2025	50.45744	0.0990625	25.68504	50.45743	1.469056e-08	1.469056e-08	0.8409572	0.04107873
2.54	3.202531	53.67274	0.6319531	27.47536	53.67274	1.469056e-08	1.469056e-08	0.8945457	0.04977397
2.55	3.202602	56.22368	0.09921875	29.16701	56.22369	1.469056e-08	1.469056e-08	0.9370615	0.05894513
2.56	3.202609	58.17597	0.6292188	30.73941	58.17597	1.469056e-08	1.469056e-08	0.9695995	0.06849087
2.57	3.202555	59.67205	0.1020313	32.18453	59.67205	1.469056e-08	1.469056e-08	0.9945342	0.07831932
