Interval=	0.001 s
ExcelDateTime=	4.5862649149055105e+004	24/07/2025 15:34:46.478361
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	175.24	*	3526.16	*
BottomValue=	*	-179.51	*	-3491.39	*
0.244	3.198906	29.11241	0.60625	12.42501	0.1436507
0.245	3.199297	29.04527	0.4726563	12.34278	0.1441352
0.246	3.199141	28.97913	0.2789063	12.26054	0.1446186
0.247	3.198828	28.91193	0.1226563	12.26054	0.1451009
0.248	3.198984	28.84516	0.053125	12.23313	0.1455821
0.249	3.199063	28.77789	0.02421875	12.31536	0.1460621
0.25	3.198672	28.71044	-0.01015625	12.12348	0.1465411
0.251	3.199375	28.64311	-0.01328125	12.26054	0.1470189
0.252	3.199063	28.57485	-0.01875	12.26054	0.1474956
0.253	3.19875	28.50718	-0.01875	12.26054	0.1479711
0.254	3.199297	28.43833	-0.02578125	12.26054	0.1484455
0.255	3.198984	28.37069	-0.0203125	12.23313	0.1489188
0.256	3.198984	28.30164	0.00078125	12.26054	0.1493909
0.257	3.199219	28.23176	0.08359375	12.37019	0.1498619
0.258	3.198984	28.16011	0.2296875	12.26054	0.1503316
0.259	3.198828	28.08836	0.4039063	12.34278	0.1508002
0.26	3.199219	28.01822	0.5851563	12.28795	0.1512676
0.261	3.199375	27.94873	0.7007813	12.3976	0.1517339
0.262	3.198984	27.88047	0.7179688	12.28795	0.152199
0.263	3.199219	27.8108	0.6851563	12.34278	0.1526629
0.264	3.199453	27.74214	0.6164063	12.34278	0.1531257
0.265	3.198828	27.6727	0.4734375	12.26054	0.1535874
0.266	3.199375	27.60401	0.2828125	12.31536	0.1540479
0.267	3.198984	27.53501	0.134375	12.12348	0.1545072
0.268	3.198828	27.46601	0.06953125	12.20571	0.1549654
0.269	3.199688	27.39735	0.01953125	12.31536	0.1554225
0.27	3.199219	27.32807	0.0015625	12.23313	0.1558784
0.271	3.198984	27.25971	-0.00703125	12.23313	0.1563331
0.272	3.199375	27.19016	-0.0046875	12.28795	0.1567867
0.273	3.199219	27.12163	-0.00859375	12.23313	0.1572392
0.274	3.198906	27.05229	-0.025	12.31536	0.1576905
0.275	3.199375	26.98389	-0.0109375	12.34278	0.1581406
0.276	3.199141	26.91513	0.0125	12.45243	0.1585897
0.277	3.199063	26.84539	0.08828125	12.50725	0.1590375
0.278	3.199219	26.77466	0.2320313	12.53466	0.1594842
0.279	3.19875	26.70306	0.4171875	12.50725	0.1599297
0.28	3.199063	26.63361	0.5820313	12.45243	0.160374
0.281	3.199375	26.56467	0.6773438	12.42501	0.1608172
0.282	3.198672	26.49765	0.73125	12.47984	0.1612593
0.283	3.198984	26.42977	0.7	12.56207	0.1617002
0.284	3.199063	26.36256	0.6273438	12.56207	0.16214
0.285	3.198984	26.29534	0.4617188	12.56207	0.1625787
0.286	3.199141	26.2285	0.2867188	12.56207	0.1630162
0.287	3.199063	26.16223	0.1367188	12.56207	0.1634527
0.288	3.199063	26.09557	0.059375	12.3976	0.163888
0.289	3.199375	26.03002	0.02578125	12.31536	0.1643222
0.29	3.199375	25.9636	-0.0015625	12.42501	0.1647554
0.291	3.198906	25.89852	-0.00390625	12.34278	0.1651874
0.292	3.199297	25.83276	-0.01015625	12.45243	0.1656184
0.293	3.199375	25.76772	-0.01015625	12.34278	0.1660483
0.294	3.199063	25.70259	-0.0140625	12.34278	0.166477
0.295	3.198984	25.63798	-0.0125	12.45243	0.1669047
0.296	1.729297	25.574	-0.00625	12.47984	0.1673314
0.297	2.098828	25.50893	0.0640625	12.47984	0.1677569
0.298	2.615469	25.44359	0.2226563	12.3976	0.1681814
0.299	2.909688	25.37683	0.4242188	12.47984	0.1686048
0.3	3.015547	25.31224	0.5875	12.56207	0.169027
0.301	2.116328	25.24866	0.6757813	12.50725	0.1694482
0.302	1.657188	25.18689	0.7320313	12.42501	0.1698684
0.303	1.690469	25.12516	0.715625	12.37019	0.1702876
0.304	2.545078	25.06362	0.6179688	12.47984	0.1707057
0.305	3.196484	25.00276	0.4601563	12.34278	0.1711227
0.306	3.197812	24.94189	0.2875	12.3976	0.1715388
0.307	3.19875	24.88223	0.14375	12.42501	0.1719539
0.308	3.198672	24.82195	0.065625	12.45243	0.172368
0.309	3.198594	24.76303	0.02421875	12.28795	0.1727811
0.31	3.199219	24.70367	-0.00625	12.26054	0.1731932
0.311	3.198906	24.64523	-0.009375	12.28795	0.1736043
0.312	3.198672	24.58683	-0.01640625	12.28795	0.1740144
0.313	3.199063	24.52867	-0.03203125	12.23313	0.1744236
0.314	3.198906	24.47105	-0.021875	12.31536	0.1748318
0.315	3.198828	24.41344	-0.01640625	12.28795	0.1752391
0.316	3.199219	24.35713	-0.009375	12.23313	0.1756454
0.317	3.198984	24.29971	0.06171875	12.31536	0.1760507
0.318	3.19875	24.24227	0.2257813	12.1783	0.1764551
0.319	3.199063	24.18348	0.4320313	12.12348	0.1768585
0.32	3.198672	24.12605	0.5804687	12.20571	0.177261
0.321	3.199063	24.07015	0.671875	12.28795	0.1776625
0.322	3.199219	24.01576	0.7078125	12.26054	0.1780631
0.323	3.198672	23.96215	0.70625	12.34278	0.1784628
0.324	3.199063	23.90822	0.6078125	12.3976	0.1788616
0.325	3.199531	23.85536	0.4578125	12.23313	0.1792595
0.326	3.199063	23.80215	0.2789063	12.26054	0.1796566
0.327	3.199219	23.75027	0.1367188	12.34278	0.1800527
0.328	3.199063	23.69805	0.05703125	12.31536	0.180448
0.329	3.198828	23.64667	0.0109375	12.34278	0.1808425
0.33	3.198906	23.59537	-0.0078125	12.26054	0.181236
0.331	3.198984	23.5444	-0.01328125	12.23313	0.1816288
0.332	3.198828	23.49396	-0.01953125	12.31536	0.1820207
0.333	3.199063	23.44325	-0.0265625	12.26054	0.1824117
0.334	3.199219	23.39338	-0.015625	12.1783	0.1828019
0.335	3.198906	23.34309	-0.01171875	12.1783	0.1831913
0.336	3.198906	23.29415	-0.0015625	12.12348	0.1835798
0.337	3.199063	23.24451	0.04765625	12.1783	0.1839675
0.338	3.19875	23.19444	0.2140625	12.28795	0.1843544
0.339	3.199063	23.1432	0.4148438	12.28795	0.1847405
0.34	3.198984	23.0923	0.58125	12.26054	0.1851256
0.341	3.198828	23.04315	0.6765625	12.1783	0.18551
0.342	3.199219	22.99509	0.7257813	12.28795	0.1858935
0.343	3.199219	22.94826	0.703125	12.26054	0.1862763
0.344	3.198828	22.9007	0.603125	12.23313	0.1866583
0.345	3.199219	22.85407	0.4671875	12.23313	0.1870395
0.346	3.199219	22.80717	0.2875	12.15089	0.1874199
0.347	3.198828	22.76105	0.1304687	12.26054	0.1877995
0.348	3.199141	22.7149	0.05625	12.34278	0.1881784
0.349	3.199375	22.66895	0.0390625	12.34278	0.1885565
0.35	3.198906	22.62337	0.00703125	12.31536	0.1889338
0.351	3.199063	22.57752	-0.0125	12.1783	0.1893104
0.352	3.199219	22.53241	-0.0296875	12.12348	0.1896862
0.353	3.198984	22.48657	-0.03046875	12.09607	0.1900613
0.354	3.199219	22.44146	-0.0171875	12.20571	0.1904356
0.355	3.198984	22.39587	-0.00859375	12.26054	0.1908092
0.356	3.198984	22.35102	-0.00859375	12.26054	0.191182
0.357	3.199063	22.30592	0.0625	12.34278	0.191554
0.358	3.199531	22.25988	0.2304688	12.42501	0.1919253
0.359	3.198984	22.2128	0.4101563	12.26054	0.1922958
0.36	3.199219	22.165	0.5890625	12.23313	0.1926655
0.361	3.199297	22.11886	0.69375	12.37019	0.1930344
0.362	3.198828	22.07336	0.7429688	12.23313	0.1934026
0.363	3.199453	22.0292	0.7054688	12.1783	0.19377
0.364	3.199141	21.98433	0.6117188	12.20571	0.1941367
0.365	3.199141	21.93973	0.46875	12.01383	0.1945027
0.366	3.199688	21.89502	0.3007813	11.98642	0.1948679
0.367	3.199141	21.85043	0.1335938	12.09607	0.1952323
0.368	3.198516	21.80606	0.03984375	12.15089	0.195596
0.369	3.199609	21.76123	0.021875	12.20571	0.195959
0.37	3.199219	21.71695	0.00625	12.06865	0.1963212
0.371	3.198672	21.67184	-0.00703125	12.09607	0.1966827
0.372	3.199219	21.6274	-0.01484375	12.20571	0.1970434
0.373	3.199219	21.58221	-0.01875	12.23313	0.1974034
0.374	3.198906	21.53717	-0.0140625	12.31536	0.1977627
0.375	3.198906	21.49176	-0.0078125	12.23313	0.1981211
0.376	3.199297	21.44641	0.0015625	12.1783	0.1984789
0.377	3.198984	21.40117	0.07421875	12.15089	0.1988358
0.378	3.199297	21.35456	0.2492188	12.06865	0.199192
0.379	3.199063	21.30705	0.428125	12.15089	0.1995475
0.38	3.199063	21.2579	0.5851563	12.15089	0.1999021
0.381	3.199453	21.21004	0.6929688	12.28795	0.2002559
0.382	3.199219	21.16276	0.7296875	12.26054	0.2006089
0.383	3.199063	21.11651	0.6976563	12.28795	0.2009611
